iter	Passed	Remaining
0	145	144904
1	155	77714
2	164	54773
3	173	43133
4	181	36075
5	189	31416
6	196	27915
7	204	25365
8	211	23327
9	220	21814
10	228	20518
11	237	19513
12	244	18581
13	253	17826
14	260	17128
15	269	16573
16	278	16079
17	286	15620
18	295	15241
19	303	14876
20	313	14594
21	321	14289
22	330	14040
23	340	13842
24	348	13607
25	358	13420
26	366	13204
27	375	13020
28	383	12824
29	391	12642
30	399	12499
31	408	12356
32	418	12250
33	426	12118
34	437	12053
35	447	11981
36	456	11885
37	466	11813
38	475	11726
39	484	11633
40	493	11543
41	503	11492
42	514	11447
43	524	11396
44	534	11353
45	546	11339
46	557	11297
47	569	11286
48	580	11274
49	591	11237
50	600	11171
51	609	11120
52	619	11062
53	628	11014
54	638	10978
55	648	10924
56	658	10888
57	668	10852
58	677	10803
59	687	10774
60	696	10728
61	707	10709
62	720	10719
63	731	10704
64	742	10681
65	753	10668
66	766	10673
67	777	10655
68	787	10630
69	799	10615
70	809	10595
71	820	10581
72	832	10565
73	844	10564
74	855	10553
75	867	10540
76	879	10544
77	891	10541
78	904	10540
79	914	10520
80	927	10519
81	938	10509
82	950	10496
83	960	10473
84	973	10482
85	987	10494
86	998	10483
87	1009	10466
88	1021	10452
89	1031	10434
90	1043	10427
91	1055	10413
92	1068	10424
93	1082	10435
94	1096	10445
95	1115	10503
96	1133	10554
97	1157	10651
98	1170	10649
99	1184	10664
100	1198	10669
101	1213	10684
102	1229	10705
103	1261	10872
104	1282	10935
105	1304	11001
106	1322	11038
107	1337	11045
108	1352	11056
109	1364	11042
110	1377	11033
111	1391	11033
112	1407	11051
113	1429	11110
114	1439	11081
115	1451	11061
116	1462	11040
117	1473	11014
118	1484	10992
119	1496	10971
120	1506	10941
121	1517	10918
122	1528	10897
123	1538	10871
124	1549	10848
125	1561	10828
126	1571	10803
127	1582	10781
128	1594	10764
129	1605	10746
130	1616	10722
131	1628	10705
132	1642	10705
133	1655	10699
134	1665	10673
135	1675	10643
136	1686	10625
137	1697	10602
138	1706	10573
139	1717	10551
140	1729	10537
141	1738	10506
142	1748	10477
143	1758	10452
144	1767	10424
145	1778	10403
146	1787	10373
147	1797	10349
148	1807	10321
149	1818	10302
150	1828	10278
151	1836	10248
152	1846	10222
153	1856	10199
154	1866	10173
155	1876	10151
156	1885	10123
157	1894	10096
158	1905	10077
159	1915	10056
160	1925	10033
161	1936	10019
162	1946	9993
163	1956	9971
164	1967	9956
165	1976	9932
166	1986	9908
167	1995	9883
168	2004	9856
169	2015	9838
170	2026	9825
171	2037	9806
172	2048	9792
173	2058	9770
174	2070	9760
175	2083	9754
176	2097	9750
177	2112	9756
178	2128	9762
179	2144	9770
180	2159	9772
181	2174	9771
182	2187	9766
183	2201	9764
184	2216	9762
185	2229	9758
